GM浓度,LAP浓度,光照时间,储能模量,损耗模量
0.03,0.0002,30,5.642,2.967
0.03,0.0002,30,7.611,2.828
0.03,0.0002,30,6.611,2.636
0.03,0.0002,60,28.49,2.824
0.03,0.0002,60,21.54,4.047
0.03,0.0002,60,26.66,3.567
0.03,0.0002,90,22.85,2.792
0.03,0.0002,90,27.56,3.923
0.03,0.0002,90,21.91,3.732
0.03,0.0002,120,26.47,3.836
0.03,0.0002,120,24.81,4.107
0.03,0.0002,120,29.18,3.605
0.03,0.0005,30,5.173,0.7147
0.03,0.0005,30,4.533,0.7135
0.03,0.0005,30,4.313,1.005
0.03,0.0005,60,14.35,0.6087
0.03,0.0005,60,16.85,0.9978
0.03,0.0005,60,15.22,0.5649
0.03,0.0005,90,18.07,0.7003
0.03,0.0005,90,22.13,0.8544
0.03,0.0005,90,24.34,0.5825
0.03,0.0005,120,22.2,0.592
0.03,0.0005,120,19.26,0.5666
0.03,0.0005,120,19.09,0.7251
0.03,0.001,30,29.39,4.22
0.03,0.001,30,35.31,3.999
0.03,0.001,30,26.83,1.289
0.03,0.001,60,47.25,2.784
0.03,0.001,60,42.26,2.726
0.03,0.001,60,41.69,2.44
0.03,0.001,90,41.64,1.905
0.03,0.001,90,48.35,1.188
0.03,0.001,90,45.87,1.837
0.03,0.001,120,48.34,2.899
0.03,0.001,120,58.78,1.358
0.03,0.001,120,58.95,1.471
0.035,0.0002,30,25.35,4.151
0.035,0.0002,30,24.21,5.796
0.035,0.0002,30,28.96,4.849
0.035,0.0002,60,21.4,6.244
0.035,0.0002,60,23.1,7.449
0.035,0.0002,60,21.59,7.469
0.035,0.0002,90,27.65,4.603
0.035,0.0002,90,34.09,5.338
0.035,0.0002,90,23.66,7.17
0.035,0.0002,120,31.84,4.93
0.035,0.0002,120,32.14,5.9
0.035,0.0002,120,25.33,5.002
0.035,0.0005,30,28.49,1.88
0.035,0.0005,30,33.07,2.189
0.035,0.0005,30,32.89,2.24
0.035,0.0005,60,96.99,2.886
0.035,0.0005,60,91.24,1.915
0.035,0.0005,60,84.27,3.998
0.035,0.0005,90,120.3,2.102
0.035,0.0005,90,121.4,1.901
0.035,0.0005,90,127.1,3.761
0.035,0.0005,120,152.8,5.067
0.035,0.0005,120,158.3,3.965
0.035,0.0005,120,150.2,6.559
0.035,0.001,30,31.1,1.188
0.035,0.001,30,36.39,1.095
0.035,0.001,30,33.63,3.148
0.035,0.001,60,94.44,4.861
0.035,0.001,60,88.28,4.803
0.035,0.001,60,99.88,2.577
0.035,0.001,90,131,3.692
0.035,0.001,90,111.3,4.126
0.035,0.001,90,116.8,7.336
0.035,0.001,120,130.6,4.499
0.035,0.001,120,118.4,6.63
0.035,0.001,120,134.1,8.366
0.04,0.0002,30,32.5,5.607
0.04,0.0002,30,30.39,5.571
0.04,0.0002,30,29.49,6.165
0.04,0.0002,60,36.78,10.18
0.04,0.0002,60,42.64,6.652
0.04,0.0002,60,41.64,7.6
0.04,0.0002,90,13,5.621
0.04,0.0002,90,14.37,5.87
0.04,0.0002,90,12.96,5.546
0.04,0.0002,120,25.53,6.516
0.04,0.0002,120,22.31,5.631
0.04,0.0002,120,28.27,6.656
0.04,0.0005,30,21.92,4.697
0.04,0.0005,30,28.6,5.105
0.04,0.0005,30,20.99,3.769
0.04,0.0005,60,97.58,2.843
0.04,0.0005,60,115.6,2.833
0.04,0.0005,60,124,3.078
0.04,0.0005,90,185.3,2.567
0.04,0.0005,90,175.4,2.624
0.04,0.0005,90,179.9,2.667
0.04,0.0005,120,139.6,3.353
0.04,0.0005,120,145.5,3.837
0.04,0.0005,120,160.2,3.557
0.04,0.001,30,46.58,1.31
0.04,0.001,30,41.53,1.009
0.04,0.001,30,46.85,1.115
0.04,0.001,60,111.4,1.656
0.04,0.001,60,117.4,1.548
0.04,0.001,60,121.1,2.398
0.04,0.001,90,150,1.388
0.04,0.001,90,145.1,1.343
0.04,0.001,90,137.7,2.8
0.04,0.001,120,187.9,1.494
0.04,0.001,120,219.2,1.1
0.04,0.001,120,218.5,2.389
0.045,0.0002,30,38.8,11.13
0.045,0.0002,30,28.98,8.603
0.045,0.0002,30,35.5,8.245
0.045,0.0002,60,54.74,10.31
0.045,0.0002,60,39.08,10.59
0.045,0.0002,60,46.13,8.939
0.045,0.0002,90,38.06,8.183
0.045,0.0002,90,35.29,7.235
0.045,0.0002,90,42.76,10.4
0.045,0.0002,120,25.12,7.609
0.045,0.0002,120,25.7,7.861
0.045,0.0002,120,19.99,8.996
0.045,0.0005,30,28.22,5.022
0.045,0.0005,30,31.64,7.159
0.045,0.0005,30,24.36,5.251
0.045,0.0005,60,83.29,4.201
0.045,0.0005,60,83.36,3.815
0.045,0.0005,60,71.82,3.517
0.045,0.0005,90,168.9,4.153
0.045,0.0005,90,172.1,5.003
0.045,0.0005,90,171.6,4.147
0.045,0.0005,120,182.4,4.694
0.045,0.0005,120,174.7,4.081
0.045,0.0005,120,192.4,7.365
0.045,0.001,30,179.4,2.26
0.045,0.001,30,170.6,4.403
0.045,0.001,30,190.3,3.097
0.045,0.001,60,369,13.43
0.045,0.001,60,356,12.21
0.045,0.001,60,350.8,5.062
0.045,0.001,90,385.7,19.29
0.045,0.001,90,400.1,9.283
0.045,0.001,90,388,12.09
0.045,0.001,120,359.4,20.77
0.045,0.001,120,338.6,15.32
0.045,0.001,120,340.2,14.69
0.05,0.0002,30,40.71,9.647
0.05,0.0002,30,47.88,5.358
0.05,0.0002,30,38.79,11.39
0.05,0.0002,60,82.45,5.036
0.05,0.0002,60,75.36,5.16
0.05,0.0002,60,84.35,5.536
0.05,0.0002,90,95.7,4.585
0.05,0.0002,90,83.1,5.95
